"FrameID"	"Accession1"	"Accession2"
BC-1.7.15		
G-15983	"NIL"	"NIL"
BC-4.3.A.1.a		
BC-4.3.A.1.am		
BC-4.3.A.1.m		
BC-4.3.A.1.p		
BC-4.8.A		
BC-1.7.29		
BC-3.1.2.5		
BC-3.1.2.2		
BC-1.6.15.4		
BC-5.5		
G-11534	"NIL"	"NIL"
BC-1.3.6		
BC-1.5.1.17		
BC-1.7.26		
BC-4.1.A		
GDQC-113394	"GRMZM2G120563_P06"	"GRMZM2G120563_T06"
GDQC-104563	"Zm00001d007937_T001.1"	"GRMZM5G840582_T01"
BC-1.1.4		
BC-2.3.1		
BC-1.7.13		
BC-1.5.1		
BC-1.1.3		
BC-1.7.12		
BC-1.7.31		
BC-1.3.7		
BC-2.2.7		
BC-3.1.3.6		
BC-1.5.1.3		
BC-1.5.1.6		
BC-1.5.1.5		
BC-1.3.8		
BC-3.1.1.1		
BC-4.1.B		
BC-1.7.18		
BC-1.5		
BC-1.6		
BC-1.5.3.1		
BC-1.6.15.3		
G-7842	"NIL"	"NIL"
G-7861	"NIL"	"NIL"
G-7862	"NIL"	"NIL"
G-7863	"NIL"	"NIL"
G-7864	"NIL"	"NIL"
G-7822	"NIL"	"NIL"
G-14794	"NIL"	"NIL"
GDQC-114717	"NIL"	"NIL"
G-8201	"NIL"	"NIL"
G-8202	"NIL"	"NIL"
GDQC-113944	"Zm00001d044099_T004.1"	"GRMZM2G121878_T01"
BC-6.7		
BC-1.1.1		
BC-1.1		
BC-1.7.22		
BC-5.2		
BC-5.1		
BC-5.6.3		
BC-5		
BC-6		
BC-1.7		
BC-4.1		
BC-2.3.4		
BC-1.5.1.20		
CKX1	"Zm00001d039520_T001.1"	"GRMZM2G146644_T01"
G-9254	"NIL"	"NIL"
BC-1.5.3.13		
BC-1.5.3.5		
BC-1.5.3		
BC-1.6.2		
BC-8.4		
BC-3.1.2.4		
Conserved-Hypothetical-ORFs		
Conserved-ORFs		
BC-1.6.3.2		
BC-3.1.3.2		
G-14667	"NIL"	"NIL"
Cryptic-Genes		
BC-1.7.24		
BC-1.5.1.12		
BC-1.6.15.1		
BC-1.6.9		
CISZOG1	"Zm00001d000237_T001.1"	"GRMZM2G168474_T01"
CISZOG2	"Zm00001d012335_T001.1"	"GRMZM2G110511_T01"
BC-5.10		
BC-1.2		
BC-5.5.5		
BC-5.6.2		
BC-1.2.2		
BC-2.1.5		
BC-2.1.3		
BC-2.1		
BC-2.1.4		
BC-2.1.1		
BC-2.1.2		
BC-9		
BC-3.1.1		
BC-5.11		
BC-5.6.4		
BC-4.2		
BC-1.4.2		
BC-1.4.3		
BC-1.4.1		
BC-1.3		
BC-1.4		
BC-1.6.4		
BC-1.5.3.14		
BC-1.3.9		
BC-2.3.5		
BC-8		
BC-1.1.2		
BC-1.5.4		
BC-5.5.7		
BC-1.3.5		
BC-1.6.13		
BC-6.4		
BC-1.6.12		
BC-1.5.3.2		
BC-1.7.17		
BC-1.7.7		
Genes		
BC-5.4		
BC-3.3		
BC-3.3.4		
G-8221	"NIL"	"NIL"
BC-1.7.8		
BC-1.5.1.1		
BC-1.5.1.2		
BC-1.5.3.10		
BC-1.5.1.10		
BC-1.7.25		
BC-1.3.1		
BC-1.6.11		
BC-1.7.2		
BC-1.7.21		
GDQC-107317	"GRMZM2G043453_P01"	"GRMZM2G043453_T01"
GDQC-111496	"GRMZM2G116087_P01"	"GRMZM2G116087_T01"
GDQC-12528	"GRMZM5G800096_P01.1"	
GDQC-13045	"GRMZM5G800101_P01.1"	
GDQC-13682	"GRMZM5G800780_P01.1"	
GDQC-8044	"GRMZM5G800980_P01.1"	
GDQC-13127	"GRMZM5G804358_P02.1"	
GDQC-9596	"GRMZM5G808402_P01.1"	
GDQC-11887	"GRMZM5G808939_P01.1"	
GDQC-7811	"GRMZM5G810298_P01.1"	
GDQC-7815	"GRMZM5G815453_P01.1"	
GDQC-9216	"GRMZM5G815553_P01.1"	
GDQC-8503	"GRMZM5G816772_P01.1"	
GDQC-13624	"GRMZM5G833299_P01.1"	
GDQC-10504	"GRMZM5G834128_P01.1"	
GDQC-14374	"GRMZM5G835775_P01.1"	
