PathwayID	SubPathways	Reactions
PWY-5434		"RXN-11911"" // ""RXN-8616"" // ""RXN-11575"" // ""RXN-8619"
PWY-7709		"GPPSYN-RXN"" // ""4.2.3.26-RXN"
5Z-Dodec-5-enoate-Biosynthesis		
L-Malate-Degradation		
S-Reticuline-Biosynthesis		
PWY-6773		13-BETA-GLUCAN-SYNTHASE-RXN
DHNA-Biosynthesis		
PWY-5791		"RXN-9311"" // ""NAPHTHOATE-SYN-RXN"" // ""RXN-9310"" // ""RXN-7614"" // ""O-SUCCINYLBENZOATE-COA-SYN-RXN"" // ""2.5.1.64-RXN"" // ""ISOCHORSYN-RXN"
14-Dihydroxy-6-Naphthoate-Biosynthesis		
PWY-4661		"MYO-INOSITOL-1-KINASE-RXN"" // ""RXN-7202"" // ""MYO-INOSITOL-1-PHOSPHATE-SYNTHASE-RXN"" // ""2.7.1.134-RXN"" // ""RXN-7203"" // ""RXN-7204"" // ""RXN-7163"
PWY-6554		"2.7.1.140-RXN"" // ""2.7.1.133-RXN"" // ""2.7.1.139-RXN"" // ""RXN-7184"" // ""RXN-7163"
PWY-5912		"1.1.1.285-RXN"" // ""2.6.1.80-RXN"" // ""2.5.1.43-RXN"" // ""S-ADENMETSYN-RXN"
Deoxyribonucleotide-Biosynthesis		
2-3-Butanediol-Degradation		
PWY-6051		"RXN-9752"" // ""RXN-9751"" // ""RXN-9750"" // ""RXN-9749"" // ""RXN-9748"" // ""RXN-9747"" // ""RXN-9746"" // ""RXN-9745"" // ""RXN-9744"" // ""RXN-9743"" // ""RXN-9742"" // ""RXN-9741"
2-Aminobenzoate-Degradation		
2-Aminoethylphosphonate-Degradation		
2-Chloroacrylates-Degradation		
Methyl-Citrate-Cycle		
PWY-6585		"3-OXOLAURATE-DECARBOXYLASE-RXN"" // ""RXN-15283"" // ""RXN-15282"" // ""RXN-15281"" // ""RXN-15280"" // ""RXN-11669"
2-Nirobenzoate-Degradation		
o-Nitrophenol-Degradation		
2-Oxobutanoate-Degradation		
PWY-5084		"RXN-7716"" // ""RXN0-1147"" // ""2OXOGLUTDECARB-RXN"
PWY-5046		"RXN-7719"" // ""2.3.1.168-RXN"" // ""1.2.4.4-RXN"
3-Chlorotoluene-Degradation		
