ReactionID	Genes
3.2.1.154-RXN	GDQC-14492
RXN-11908	GDQC-12377 // GDQC-12534
RXN-4802	GDQC-12534 // GDQC-12377
RXN-4801	GDQC-12534 // GDQC-12377
RXN-745	
RXN-12421	GDQC-14845 // GDQC-13392 // GDQC-12625 // GDQC-12149 // GDQC-11062 // GDQC-10559 // GDQC-10500
1.2.3.14-RXN	GDQC-109693
RXN-15533	GDQC-14942 // GDQC-12925 // GDQC-8315 // GDQC-7858
RXN-15531	
RXN-9045	GDQC-12205 // GDQC-11911
RXN-7782	
RXN1F-93	GDQC-14764 // GDQC-12582 // GDQC-8143
DIHYDROKAEMPFEROL-4-REDUCTASE-RXN	
RXN-525	GDQC-106547 // GDQC-9629 // GDQC-7781
RXN-8450	
RXN-8962	GDQC-12968
RXN-8679	GDQC-11802 // GDQC-9397
RXN-8386	GDQC-14468
+-NEOMENTHOL-DEHYDROGENASE-RXN	GDQC-14840 // GDQC-14326 // GDQC-13505 // GDQC-12689 // GDQC-12657 // GDQC-12316 // GDQC-11136 // GDQC-10677 // GDQC-10402 // GDQC-9967 // GDQC-8785 // GDQC-8763 // GDQC-7848 // GDQC-7743
RXN-8678	GDQC-14108 // GDQC-13559 // GDQC-11903 // GDQC-11802 // GDQC-11455 // GDQC-9397
RXN-12451	GDQC-13559 // GDQC-11455
RXN-8695	GDQC-13473
RXN-8696	GDQC-13473
1.14.13.104-RXN	GDQC-9075
RXN-12591	
RXN-13819	GDQC-13504 // GDQC-11828
RXN-527	GDQC-14764 // GDQC-12582 // GDQC-8143
RXN-600	
RXN-13718	
RXN-8909	GDQC-14928 // GDQC-12703
RXN-12882	GDQC-12233 // GDQC-11376 // GDQC-11129 // GDQC-10546 // GDQC-9239 // GDQC-9212 // GDQC-8946 // GDQC-8934
RXN-15399	
RXN-12881	GDQC-12233 // GDQC-11376 // GDQC-11129 // GDQC-10546 // GDQC-9239 // GDQC-9212 // GDQC-8946 // GDQC-8934
