Entry	Cross-reference (Gramene)
A0A060CUY1	Zm00001d020826_T001;
A0A060CUZ2	
A0A060CV13	
A0A060CVA2	
A0A060CVD3	
A0A060CVD8	Zm00001d016260_T001;
A0A060CVG2	Zm00001d027292_T001;
A0A060CVI0	
A0A060CVJ8	Zm00001d031781_T001;
A0A060CVL0	Zm00001d005757_T001;
A0A060CVL7	Zm00001d029749_T001;
A0A060CVM9	Zm00001d029607_T001;
A0A060CVP0	Zm00001d003645_T001;
A0A060CWY7	Zm00001d030513_T001;
A0A060CWZ9	Zm00001d002760_T001;
A0A060CX05	Zm00001d022628_T001;Zm00001d022628_T002;
A0A060CX87	
A0A060CXA0	
A0A060CXD8	Zm00001d003871_T001;
A0A060CXE4	Zm00001d024777_T001;
A0A060CXF9	
A0A060CXG3	Zm00001d021208_T001;
A0A060CXH0	Zm00001d019213_T001;
A0A060CXI7	
A0A060CXJ6	Zm00001d007768_T001;
A0A060CXK4	
A0A060CXK9	Zm00001d033308_T001;
A0A060CXM7	
A0A060CXP6	
A0A060CXS1	
A0A060CXT5	
A0A060CXT8	
A0A060CXU7	Zm00001d043902_T001;
A0A060CXV8	
A0A060CXW2	
A0A060CXX0	
A0A060CY33	
A0A060CY61	Zm00001d002573_T001;
A0A060CY74	Zm00001d032578_T001;
A0A060CY98	
A0A060CYB4	Zm00001d041056_T006;Zm00001d041056_T009;
A0A060CYH3	Zm00001d016361_T001;
A0A060CYI1	Zm00001d018045_T001;
A0A060CYJ7	
A0A060CYK3	
A0A060CYM1	
A0A060CYS4	
A0A060CYS6	Zm00001d017268_T001;
A0A060CYT2	
A0A060CYU2	
A0A060CYX6	Zm00001d002799_T001;
A0A060CYY6	
A0A060CYY7	
A0A060CYZ5	Zm00001d040393_T001;
A0A060CZ08	
A0A060CZ17	Zm00001d021826_T001;
A0A060CZ22	
A0A060CZ25	Zm00001d022256_T001;
A0A060CZ29	Zm00001d006150_T001;
A0A060CZ30	
A0A060CZ32	Zm00001d034891_T001;
A0A060CZ34	
A0A060CZ37	
A0A060CZ40	
A0A060CZ48	Zm00001d040318_T001;Zm00001d040318_T002;
A0A060CZ59	Zm00001d017782_T001;
A0A060CZ68	Zm00001d027409_T001;
A0A060CZ69	Zm00001d020512_T002;Zm00001d020512_T004;Zm00001d020512_T005;
A0A060CZ75	Zm00001d034457_T001;
A0A060CZ84	
A0A060CZ85	
A0A060CZ89	Zm00001d020881_T006;
A0A060CZA8	
A0A060CZB6	Zm00001d005964_T001;Zm00001d005964_T002;
A0A060CZB9	Zm00001d044167_T001;
A0A060CZC4	
A0A060CZD5	Zm00001d004966_T001;
A0A060CZG0	
A0A060CZL3	Zm00001d044667_T004;
A0A060CZR1	Zm00001d028526_T001;
A0A060CZR7	Zm00001d003080_T001;
A0A060D0K6	
A0A060D0L2	
A0A060D0N9	Zm00001d016791_T001;
A0A060D0T1	
A0A060D0U3	
A0A060D100	Zm00001d006653_T001;
A0A060D109	Zm00001d041981_T001;
A0A060D112	Zm00001d042593_T001;
A0A060D116	Zm00001d043491_T001;
A0A060D120	
A0A060D121	Zm00001d006463_T001;
A0A060D144	Zm00001d031501_T001;
A0A060D145	Zm00001d013792_T001;
A0A060D150	Zm00001d019744_T001;
A0A060D156	Zm00001d041935_T001;
A0A060D160	Zm00001d025669_T001;Zm00001d025669_T002;Zm00001d025669_T003;
A0A060D169	
A0A060D172	
A0A060D175	
A0A060D177	
A0A060D186	Zm00001d000458_T001;
A0A060D196	
A0A060D1B6	Zm00001d042752_T001;
A0A060D1D4	Zm00001d005055_T001;
A0A060D1E1	
A0A060D1F1	Zm00001d020267_T001;
A0A060D1F8	
A0A060D1G2	Zm00001d004358_T003;
A0A060D1H2	
A0A060D1J1	Zm00001d034784_T010;
A0A060D1J5	
A0A060D1K7	
A0A060D1K8	
A0A060D1L3	Zm00001d017643_T001;
A0A060D1M1	Zm00001d002562_T001;
A0A060D1M6	Zm00001d017350_T001;
A0A060D1N0	Zm00001d033353_T001;
A0A060D1N2	Zm00001d005962_T001;
A0A060D1N6	
A0A060D1Q6	
A0A060D1R4	Zm00001d020714_T001;
A0A060D1R6	Zm00001d040189_T001;Zm00001d040189_T002;
A0A060D1S0	Zm00001d033048_T001;
A0A060D1T2	
A0A060D1T9	
A0A060D1U6	Zm00001d028603_T001;Zm00001d028603_T006;
A0A060D1V0	
A0A060D1V4	
A0A060D1V9	
A0A060D1W5	Zm00001d017409_T001;
A0A060D1W7	Zm00001d017477_T001;
A0A060D1X1	Zm00001d013895_T002;
A0A060D1X2	Zm00001d004882_T001;
A0A060D1Y3	
A0A060D1Y7	Zm00001d021089_T001;
A0A060D1Z1	
A0A060D1Z5	
A0A060D1Z7	
A0A060D206	Zm00001d032923_T002;
A0A060D211	Zm00001d002747_T001;
A0A060D219	
A0A060D220	Zm00001d027870_T001;
A0A060D249	Zm00001d017900_T001;
A0A060D254	
A0A060D259	
A0A060D263	
A0A060D2B1	
A0A060D2B6	Zm00001d040536_T005;
A0A060D2C2	
A0A060D2E8	
A0A060D2F4	
A0A060D2F6	Zm00001d033815_T001;
A0A060D2G0	Zm00001d043968_T001;
A0A060D2G2	
A0A060D2G6	Zm00001d015639_T001;
A0A060D2H9	Zm00001d028999_T001;
A0A060D2K5	Zm00001d043204_T001;
A0A060D2L0	Zm00001d028879_T001;
A0A060D2L1	
A0A060D2L8	
A0A060D2N1	
A0A060D2P2	
A0A060D2Q8	Zm00001d043474_T001;
A0A060D2R4	
A0A060D2S4	
A0A060D2T5	Zm00001d041886_T001;
A0A060D2U8	
A0A060D2W0	Zm00001d032838_T001;
A0A060D2X0	
A0A060D2Y0	
A0A060D2Y2	
A0A060D2Y7	
A0A060D2Z1	
A0A060D2Z7	
A0A060D314	Zm00001d004611_T001;
A0A060D322	
A0A060D325	
A0A060D364	
A0A060D379	
A0A060D3A9	
A0A060D3B5	Zm00001d027852_T001;
A0A060D3B9	Zm00001d018065_T001;
A0A060D3C2	Zm00001d042864_T002;Zm00001d042864_T003;
A0A060D3D1	
A0A060D3D9	Zm00001d044301_T001;
A0A060D3F9	
A0A060D3G4	Zm00001d047960_T002;
A0A060D3Q4	
A0A060D3W9	
A0A060D3Y9	
A0A060D3Z8	
A0A060D417	Zm00001d018421_T001;Zm00001d018421_T002;Zm00001d018421_T004;Zm00001d018421_T005;
A0A060D485	Zm00001d032265_T001;
A0A060D4H1	Zm00001d033093_T001;
A0A060D4J5	
A0A060D4K1	
A0A060D4L2	Zm00001d021164_T001;
A0A060D4L7	Zm00001d007713_T001;
A0A060D4M4	Zm00001d033834_T001;
A0A060D4M6	
A0A060D4N1	
A0A060D4X8	
A0A060D551	
A0A060D557	Zm00001d039581_T001;
A0A060D570	Zm00001d041919_T001;
A0A060D582	Zm00001d033791_T001;
A0A060D587	Zm00001d004541_T009;
A0A060D5A5	Zm00001d043402_T001;
A0A060D5B9	Zm00001d039482_T001;
A0A060D5C3	
A0A060D5C9	Zm00001d043877_T001;
A0A060D5Z3	Zm00001d027686_T001;
A0A060D5Z7	
A0A060D603	
A0A060D609	Zm00001d031796_T001;
A0A060D635	Zm00001d040464_T001;
A0A060D698	
A0A060D6B3	
A0A060D6C7	Zm00001d019116_T001;
A0A060D6D0	Zm00001d016262_T001;
A0A060D6E2	Zm00001d031499_T001;
A0A060D6F1	Zm00001d015815_T001;
A0A060D6G1	Zm00001d019475_T001;
A0A060D6J4	Zm00001d016456_T003;Zm00001d016456_T005;Zm00001d016456_T007;Zm00001d016456_T008;
A0A060D6K6	Zm00001d029855_T001;
A0A060D6L0	
A0A060D6L2	Zm00001d032217_T001;
A0A060D6M0	Zm00001d004881_T001;
A0A060D6M9	Zm00001d033884_T001;
A0A060D6N3	
A0A060D6Q3	Zm00001d002867_T001;
A0A060D6Q8	
A0A060D6Q9	Zm00001d002762_T001;
A0A060D6R5	
A0A060D6S6	
A0A060D6U5	
A0A060D6V0	Zm00001d007119_T001;
A0A060D6V3	Zm00001d042588_T001;
A0A060D700	Zm00001d041604_T001;
A0A060D757	
A0A060D762	Zm00001d006668_T001;
A0A060D764	Zm00001d017742_T001;
A0A060D777	Zm00001d014656_T002;Zm00001d014656_T006;
A0A060D780	Zm00001d043706_T001;
A0A060D782	Zm00001d002811_T002;
A0A060D789	Zm00001d007033_T001;
A0A060D792	
A0A060D794	
A0A060D798	Zm00001d015585_T001;
A0A060D7A4	
A0A060D7B7	Zm00001d033166_T001;
A0A060D7C8	Zm00001d005888_T002;
A0A060D7D2	
A0A060D7D7	
A0A060D7E2	
A0A060D7E5	Zm00001d034417_T001;
A0A060D7E9	Zm00001d031550_T001;
A0A060D7G9	
A0A060D7H3	
A0A060D7H5	Zm00001d015407_T001;
A0A060D7J5	Zm00001d034629_T001;
A0A060D7N0	
A0A060D7N5	Zm00001d002079_T001;
A0A060D7N9	Zm00001d019098_T001;
A0A060D7S3	Zm00001d013399_T001;
A0A060D7S7	Zm00001d006791_T001;
A0A060D7T6	
A0A060D7W2	
A0A060D7W7	Zm00001d017905_T001;
A0A060D7X7	Zm00001d031064_T002;Zm00001d031064_T003;
A0A060D7Y3	Zm00001d005919_T001;
A0A060D7Y8	
A0A060D7Z4	Zm00001d006721_T001;
A0A060D7Z5	
A0A060D7Z7	Zm00001d014113_T001;
A0A060D801	Zm00001d013331_T001;
A0A060D812	
A0A060D815	
A0A060D823	
A0A060D828	Zm00001d002794_T001;
A0A060D834	Zm00001d034751_T001;
A0A060D837	Zm00001d021754_T002;
A0A060D850	
A0A060D855	Zm00001d042066_T044;
A0A060D857	Zm00001d024543_T002;
A0A060D866	Zm00001d032691_T002;
A0A060D875	Zm00001d013220_T001;
A0A060D878	Zm00001d034419_T001;
A0A060D882	
A0A060D884	
A0A060D890	Zm00001d027901_T001;
A0A060D892	
A0A060D895	Zm00001d017412_T001;
A0A060D8A5	
A0A060D8B1	Zm00001d014201_T001;
A0A060D8B5	Zm00001d032932_T001;
A0A060D8J7	Zm00001d044107_T001;
A0A060D8L1	Zm00001d027802_T001;Zm00001d027802_T002;Zm00001d027802_T003;
A0A060D8N6	
A0A060D8N7	Zm00001d044081_T001;
A0A060D8P1	
A0A060D8P2	
A0A060D8P6	Zm00001d002659_T001;
