Gene Model ID	Gene Symbol	Full Name	Source	Chromosome	Start	End
GRMZM2G026930	a1	anthocyaninless1	Classical Gene	Chr3	216,386,031	216,387,865
GRMZM2G345717	a2	anthocyaninless2	Classical Gene	Chr5	66,136,522	66,139,360
GRMZM2G013726	a4	anthocyaninless4	Classical Gene	Chr8	145,645,771	145,647,394
GRMZM2G116204	abp1	auxin binding protein1	Classical Gene	Chr3	133,916,691	133,921,441
GRMZM2G064371	abp4	auxin binding protein homolog4	Classical Gene	Chr10	26,670,823	26,673,897
GRMZM2G035688	abph1	aberrant phyllotaxy1	Classical Gene	Chr2	28,104,302	28,109,281
GRMZM2G126010	act1	actin1	Classical Gene	Chr8	99,906,105	99,909,909
GRMZM2G117603	adf1	actin depolymerizing factor1	Classical Gene	Chr7	148,916,447	148,917,753
GRMZM2G442658	adh1	alcohol dehydrogenase1	Classical Gene	Chr1	274,050,254	274,054,148
GRMZM2G098346	adh2	alcohol dehydrogenase2	Classical Gene	Chr4	13,409,584	13,412,986
GRMZM2G032628	ae1	amylose extender1	Classical Gene	Chr5	168,492,139	168,509,225
GRMZM2G059037	afd1	absence of first division1	Classical Gene	Chr6	166,795,461	166,827,341
GRMZM2G015295	ahh1	adenosyl homocysteine hydrolase1	Classical Gene	Chr4	21,158,461	21,161,610
GRMZM2G104546	akh2	aspartate kinase homoserine dehydrogenase2	Classical Gene	Chr2	173,486,913	173,506,976
GRMZM2G057823	ald1	aldolase1	Classical Gene	Chr3	165,765,568	165,768,179
GRMZM5G883855	am1	ameiotic1	Classical Gene	Chr5	16,109,038	16,115,968
GRMZM2G138468	amya3	alpha amylase3	Classical Gene	Chr2	186,911,744	186,913,606
GRMZM2G058310	amyb5	beta amylase5	Classical Gene	Chr7	155,396,510	155,399,710
GRMZM2G039942	ane1	androgenic embryo1	Classical Gene	Chr4	222,614,892	222,615,724
GRMZM2G372553	ane3	androgenic embryo3	Classical Gene	Chr10	80,752,876	80,753,536
GRMZM2G135186	ant2	adenine nucleotide translocator2	Classical Gene	Chr4	163,798,958	163,802,105
GRMZM2G448687	apt1	aberrant pollen transmission1	Classical Gene	Chr9	129,022,644	129,046,413
GRMZM2G032315	arpp1a	acidic ribosomal protein P1a	Classical Gene	Chr6	4,596,812	4,609,378
GRMZM2G119809	arpp2a	acidic ribosomal protein P2a	Classical Gene	Chr8	72,904,843	72,907,132
GRMZM2G101020	atp1	ATPase1	Classical Gene	Chr3	141,387,560	141,390,705
GRMZM2G172795	b1	colored plant1	Classical Gene	Chr2	19,041,697	19,046,154
GRMZM2G397518	ba1	barren stalk1	Classical Gene	Chr3	183,139,911	183,140,880
GRMZM2G152655	bap2	basal layer antifungal protein2	Classical Gene	Chr4	34,294,927	34,295,919
GRMZM2G307119	bd1	branched silkless1	Classical Gene	Chr7	172,248,843	172,250,339
GRMZM2G160565	bde1	bearded-ear1	Classical Gene	Chr5	196,601,246	196,608,839
GRMZM2G175976	betl3	basal endosperm transfer layer3	Classical Gene	Chr3	132,282,587	132,283,333
GRMZM2G171822	bif2	barren inflorescence2	Classical Gene	Chr1	173,865,554	173,867,297
GRMZM2G114793	bip1	Binding protein homolog1	Classical Gene	Chr5	69,354,043	69,357,915
GRMZM5G844562	bm1	brown midrib1	Classical Gene	Chr5	99,030,278	99,034,633
AC196475.3_FG004	bm3	brown midrib3	Classical Gene	Chr4	32,278,881	32,280,752
GRMZM5G842058	brk1	brick1	Classical Gene	Chr5	216,747,837	216,749,400
GRMZM2G062788	bsd2	bundle sheath defective2	Classical Gene	Chr1	158,329,236	158,340,592
GRMZM2G144081	bt1	brittle endosperm1	Classical Gene	Chr5	112,964,229	112,966,353
GRMZM2G068506	bt2	brittle endosperm2	Classical Gene	Chr4	58,979,526	58,985,686
GRMZM2G085381	bx1	benzoxazinless1	Classical Gene	Chr4	3,260,762	3,263,006
GRMZM2G085661	bx2	benzoxazinone synthesis2	Classical Gene	Chr4	3,265,213	3,267,368
GRMZM2G167549	bx3	benzoxazinone synthesis3	Classical Gene	Chr4	3,003,162	3,005,932
GRMZM2G172491	bx4	benzoxazinone synthesis4	Classical Gene	Chr4	3,051,215	3,054,036
GRMZM2G063756	bx5	benzoxazinone synthesis5	Classical Gene	Chr4	3,112,925	3,115,501
GRMZM2G165390	bz1	bronze1	Classical Gene	Chr9	11,779,648	11,781,406
GRMZM2G016241	bz2	bronze2	Classical Gene	Chr1	241,430,768	241,432,121
GRMZM2G005066	c1	colored aleurone1	Classical Gene	Chr9	9,746,518	9,747,591
GRMZM2G422750	c2	colorless2	Classical Gene	Chr4	192,758,391	192,761,788
AC199526.5_FG003	caf2	crs2 associated factor2	Classical Gene	Chr3	58,874,517	58,886,337
GRMZM2G117582	cal1	calmodulin1	Classical Gene	Chr6	155,708,190	155,712,626
GRMZM2G067511	cal2	calmodulin2	Classical Gene	Chr3	38,428,315	38,432,905
GRMZM2G152891	cal3	calmodulin3	Classical Gene	Chr1	52,092,838	52,096,639
GRMZM2G056014	cap1	calcium pump1	Classical Gene	Chr8	132,408,451	132,413,070
GRMZM2G088212	cat1	catalase1	Classical Gene	Chr5	63,593,142	63,597,617
GRMZM2G090568	cat2	catalase2	Classical Gene	Chr1	7,153,870	7,156,146
GRMZM2G079348	cat3	catalase3	Classical Gene	Chr4	240,651,914	240,655,881
GRMZM2G098298	ccp1	cysteine protease1	Classical Gene	Chr5	158,904,820	158,908,319
GRMZM2G038636	ccp2	cysteine protease2	Classical Gene	Chr7	122,016,558	122,021,703
GRMZM2G364069	cdj2	chaperone DNA J2	Classical Gene	Chr1	250,153,164	250,156,813
GRMZM2G112336	cesa1	cellulose synthase1	Classical Gene	Chr8	79,738,607	79,744,724
GRMZM2G027723	cesa2	cellulose synthase2	Classical Gene	Chr6	128,743,576	128,750,030
GRMZM2G039454	cesa3	cellulose synthase3	Classical Gene	Chr3	11,648,913	11,655,958
GRMZM2G111642	cesa5	cellulose synthase5	Classical Gene	Chr1	290,666,783	290,672,751
GRMZM2G113137	cesa6	cellulose synthase6	Classical Gene	Chr1	296,334,073	296,339,855
GRMZM2G025231	cesa7	cellulose synthase7	Classical Gene	Chr7	37,037,007	37,042,784
GRMZM2G177631	cesa8	cellulose synthase8	Classical Gene	Chr7	26,503,597	26,509,680
GRMZM2G018241	cesa9	cellulose synthase9	Classical Gene	Chr2	161,757,546	161,763,704
GRMZM2G026117	cf1	camouflage1	Classical Gene	Chr5	84,284,464	84,288,424
GRMZM2G155329	chi1	chalcone flavanone isomerase1	Classical Gene	Chr1	293,118,119	293,119,647
GRMZM2G145461	chn2	chitinase2	Classical Gene	Chr6	83,025,839	83,027,065
GRMZM2G389582	chn3	chitinase3	Classical Gene	Chr5	63,306,100	63,308,250
GRMZM2G009443	cip1	cytokinin inducible protease1	Classical Gene	Chr10	35,591,531	35,598,325
GRMZM2G143602	cka1	CK2 protein kinase alpha 1	Classical Gene	Chr2	236,711,216	236,716,685
GRMZM2G047855	cka2	CK2 protein kinase alpha 2	Classical Gene	Chr1	279,484,878	279,490,883
GRMZM2G146644	cko1	cytokinin oxidase1	Classical Gene	Chr3	7,601,132	7,605,870
GRMZM2G405368	conz1	constans1	Classical Gene	Chr9	35,635,308	35,639,846
GRMZM2G051637	cr4	crinkly4	Classical Gene	Chr10	5,591,911	5,595,821
GRMZM2G083950	crp1	chloroplast RNA processing1	Classical Gene	Chr7	155,872,362	155,876,338
GRMZM2G392101	crr2	cytokinin response regulator2	Classical Gene	Chr10	147,279,947	147,281,251
GRMZM2G078412	crs1	chloroplast RNA splicing1	Classical Gene	Chr1	221,032,166	221,044,222
GRMZM2G132021	crs2	chloroplast RNA splicing2	Classical Gene	Chr8	12,557,722	12,566,051
GRMZM2G358059	crt2	calreticulin2	Classical Gene	Chr7	24,423,090	24,427,016
GRMZM5G809546	csy1	chloroplast SecY-1	Classical Gene	Chr10	52,428,891	52,457,207
GRMZM2G051943	cta1	chitinase A1	Classical Gene	Chr2	34,162,588	34,163,936
GRMZM2G034647	cyc1	cyclin1	Classical Gene	Chr8	119,587,820	119,590,668
GRMZM2G073671	cyc3	cyclin3	Classical Gene	Chr6	82,783,470	82,787,296
GRMZM2G310115	cyc7	cyclin7	Classical Gene	Chr8	170,942,614	170,961,820
GRMZM5G899349	cyp1	cytochrome P450 homolog1	Classical Gene	Chr3	232,159,860	232,163,704
GRMZM2G167986	cyp8	cytochrome P-450 8	Classical Gene	Chr1	243,707,108	243,709,449
GRMZM2G093195	d3	dwarf plant3	Classical Gene	Chr9	26,725,936	26,729,883
